att_response,att_RT,att_onset,att_offset,past_response,past_RT,past_onset,past_offset,fut_response,fut_RT,fut_onset,fut_offset,self_response,self_RT,self_onset,self_offset,ppl_response,ppl_RT,ppl_onset,ppl_offset,arou_response,arou_RT,arou_onset,arou_offset,aff_response,aff_RT,aff_onset,aff_offset,eng_response,eng_RT,eng_onset,eng_offset,mvmt_response,mvmt_RT,mvmt_onset,mvmt_offset,delib_response,delib_RT,delib_onset,delib_offset,image_response,image_RT,image_onset,image_offset,ling_response,ling_RT,ling_onset,ling_offset,conf_response,conf_RT,conf_onset,conf_offset
8,1.83604579977691,74.7378107002005,77.62958050007,2,1.61865890026093,77.6304911999032,80.3662340999581,8,0.486883899662644,80.367001300212,83.105364299845,7,1.84403289994225,83.1063486998901,87.0562435002066,6,0.971506099682301,87.0584475002252,88.6934573999606,7,1.6003747000359,88.6942373001948,91.6795740001835,6,1.39190699998289,91.6804092000239,95.615989100188,1,1.93855849979445,95.6170208002441,98.7355963001028,8,1.55342860007659,98.7368366001174,102.522671999875,3,1.00915590021759,102.524210399948,105.265412900131,4,1.76930929999799,105.266194399912,107.940529500134,3,1.14145210012794,107.941938099917,109.973439299967,6,1.41738720005378,109.974387499969,112.401577900164
7,1.59453479992226,161.009434199892,164.90892289998,2,2.09198869997635,164.909475299995,168.357230099849,9,0.635476900264621,168.358066999819,170.169086200185,7,1.39275539992377,170.169627700001,172.435918100178,8,0.802484500221908,172.436687999871,174.122151100077,9,1.48085700022057,174.123520399909,177.460883500054,2,1.30857660016045,177.461598000024,179.908974800259,7,1.44568239990622,179.909803300165,182.523500999901,3,1.44486739998683,182.524403099902,185.18306099996,3,1.60659349989146,185.183891300112,190.475142099895,7,1.46308299992234,190.476190200076,193.35418340005,1,0.683030199725181,193.356048100162,196.490624399856,2,1.16661649988964,196.492327800021,199.007680099923
7,1.94429409969598,252.615438700188,257.014431300107,3,1.44508529966697,257.015483300202,261.503199500032,7,1.36189349973574,261.504245100077,264.296578899957,6,1.170581900049,264.298354799859,268.357704199851,8,0.349244799930602,268.358274300117,269.617382499855,7,2.52644619997591,269.618703800254,273.500547999982,7,0.858323000371456,273.502017099876,278.60872589983,7,1.41608789982274,278.610763600096,283.630221200176,3,1.59262110013515,283.631230500061,287.029596200213,3,1.83077540015802,287.030523899943,289.866026700009,2,1.65803879965097,289.866985000204,293.4490735,4,0.670918500050902,293.45013500005,295.443514800165,7,1.1997759998776,295.444557100069,297.876603499986
7,2.1385749001056,356.417989199981,361.485388199799,1,2.2815606999211,361.485405200161,365.789024100173,1,0.462189699988812,365.789049000014,367.437806600239,8,1.42827469995245,367.437826400157,370.034140100237,2,0.384435500018299,370.034159000032,371.42998669995,1,1.2186965001747,371.430007399991,373.985379000194,6,1.03404860012233,373.985395899974,376.948517700192,3,2.43807480018586,376.948537799995,380.266124399845,8,1.5215171999298,380.26614429988,383.020639299881,3,1.65192529978231,383.020660500042,385.404736000113,7,1.4113356997259,385.40475350013,388.089043200016,1,0.560376399662346,388.089058800135,389.93343059998,2,0.985115500167012,389.933449999895,391.890826200135
1,1.37282409984618,451.428928500041,455.312188699841,1,1.42904709978029,455.312212400138,458.489437600132,1,0.305788799654692,458.489459100179,464.655647099949,7,1.42452509980649,464.655684700236,467.660973700229,6,0.599053199868649,467.660991200246,468.876451400109,9,1.11147680040449,468.876472999807,471.85464429995,2,0.98320240015164,471.85470320005,474.568765500095,9,1.41540279984474,474.568782899994,476.938107300084,6,0.972090799827129,476.938130800147,478.466345500201,1,1.92311810003594,478.46636359999,481.706471499987,3,1.51926749991253,481.70649329992,484.641384799965,1,0.771039799787104,484.641402500216,487.071644499898,9,1.20089450012892,487.071663099807,489.922280299943
8,1.88228759961203,546.526661400218,550.765149100218,2,1.68554949993268,550.765167400241,554.576499300078,8,0.784927300177515,554.576539000031,556.832758800127,9,0.916405300144106,556.832775299903,559.190373099875,7,0.721220300067216,559.190394400153,560.900712899864,7,1.10833219997585,560.900736799929,563.672604899853,2,0.936991299968213,563.672617800068,565.573675400112,8,1.03364339983091,565.573693000246,567.714020399842,7,1.04501949995756,567.71403669985,570.404486900195,3,1.25953749986365,570.404504199978,572.529334099963,4,1.30202169995755,572.529354600236,574.981064800173,1,0.536879099905491,574.9810858001,576.693819100037,2,1.23311570007354,576.693837100174,579.063764099963
