att_response,att_RT,att_onset,att_offset,past_response,past_RT,past_onset,past_offset,fut_response,fut_RT,fut_onset,fut_offset,self_response,self_RT,self_onset,self_offset,ppl_response,ppl_RT,ppl_onset,ppl_offset,arou_response,arou_RT,arou_onset,arou_offset,aff_response,aff_RT,aff_onset,aff_offset,eng_response,eng_RT,eng_onset,eng_offset,mvmt_response,mvmt_RT,mvmt_onset,mvmt_offset,delib_response,delib_RT,delib_onset,delib_offset,image_response,image_RT,image_onset,image_offset,ling_response,ling_RT,ling_onset,ling_offset,conf_response,conf_RT,conf_onset,conf_offset
2,3.03941660001874,92.242238599807,96.6379949999973,1,2.50055249966681,96.6381302000955,101.065363899805,1,0.702645000070333,101.065557199996,103.069603700191,3,1.96698099980131,103.06978450017,106.022993099876,7,2.53531459998339,106.023183600046,109.339235600084,9,1.87741710012779,109.339403799735,112.338241099846,4,2.10159939993173,112.338434500154,115.300982200075,7,2.46994139999151,115.301162700169,119.18299910007,8,1.67858250020072,119.183218299877,121.974120900035,7,1.70538550009951,121.974292099942,125.269317999948,5,1.50526110036299,125.269521699753,127.200314399786,1,3.10422189999372,127.200497500133,131.389445799869,5,1.57316710008308,131.389634300023,133.98898039991
9,2.29220460029319,195.612648299895,199.306600799784,1,1.97329899994656,199.306812800001,202.352308599744,8,1.17748570023105,202.352472499944,204.577525099739,8,1.86065189959481,204.577668900136,207.377822900191,3,1.20426090015098,207.378021299839,209.75447259983,4,1.78493060031906,209.754615699872,212.49676229991,5,2.10903469985351,212.497251600027,215.165354399942,2,2.14829490007833,215.165635500103,218.190715000033,7,1.51560749998316,218.190916900057,220.430349499919,8,1.19971109973267,220.430583700072,222.71862810012,4,1.23863090015948,222.718834499829,225.283059400041,6,0.773250500205904,225.283249899745,226.541298999917,7,2.23233100026846,226.541520199738,229.567344699986
8,1.70390440011397,281.125524799805,284.134107599966,3,1.97974839992821,284.134343300015,287.827886700165,7,1.3038081000559,287.828134899959,290.277256499976,6,2.06308890040964,290.277460199781,293.238487999886,7,0.991480799857527,293.238688699901,295.267172699794,3,1.54612570023164,295.267409599852,297.481449100189,5,1.36430070037022,297.481637899764,299.317556200083,3,1.5774191999808,299.317916499916,302.049517999869,7,1.25965430028737,302.049714599736,303.975061899982,3,1.55815330008045,303.975262899883,307.468434200156,7,1.83300599968061,307.468637200072,310.82992069982,3,1.93324749963358,310.830146700144,313.681531200185,3,1.72048769984394,313.681746900082,316.646720499732
7,3.14126619976014,367.229410700034,372.300030000042,3,2.00249479990453,372.30071979994,375.220378600061,3,1.87756810011342,375.220581099857,377.799657199997,7,1.33512659976259,377.799862300046,381.040372999851,6,1.86555479979143,381.04110989999,383.85495739989,3,1.1817471999675,383.855159400031,386.721266800072,8,2.92838549986482,386.721486799885,391.555686200038,7,2.22877140017226,391.556278199889,395.205789399799,5,1.09476590016857,395.205969399773,396.71816550009,3,1.5567812002264,396.718381099869,399.458519099746,4,1.74564060010016,399.458755299915,402.13945259992,2,0.595136300195009,402.139667899814,404.940430799965,6,1.25014619994909,404.941078300122,407.378484399989
8,2.18359170015901,458.9341560998,462.417655599769,2,1.78540730010718,462.418535999954,466.922449199948,9,0.912457600235939,466.924168199766,469.195593500044,8,1.19818519987166,469.196415199898,472.250472699758,6,0.904568600002676,472.251481899992,473.890264700167,3,1.75064160022885,473.891150999814,476.361132899765,7,1.26672409987077,476.362060400192,478.617418000009,2,1.2460154001601,478.618474899791,481.711958900094,8,0.832755800336599,481.712905599736,483.643377500121,9,0.998339400161058,483.644265799783,486.67640599981,4,1.77854240033776,486.677134399768,489.272860699799,2,1.08937160018831,489.27383319987,493.746086299885,2,1.62423000019044,493.746877599973,496.639475299977
8,2.06306539988145,556.233768099919,559.510081599932,4,2.72096320008859,559.510103499983,563.164895600174,7,1.32926320005208,563.164917099755,566.066350500099,7,1.97797789983451,566.066373200156,569.195256200153,8,0.946323900017887,569.195286000147,572.274540899787,8,1.47485460015014,572.274569099769,574.633078400046,2,0.9449825999327,574.633095500059,576.627937200014,3,2.40497829997912,576.627955500036,579.934198199771,3,1.48189089959487,579.934220800176,584.112905799877,7,1.89888019999489,584.112917999737,587.164948999882,7,1.65035510016605,587.164967800025,590.276654200163,2,2.15187529986724,590.27667170018,594.31241620006,3,1.38350589992478,594.312440400012,596.79509320017
