"subject","cluster"
1,1
5,1
8,1
9,1
12,1
15,1
19,1
23,1
24,1
25,1
27,1
29,1
37,1
41,1
43,1
44,1
46,1
48,1
51,1
3,2
4,2
6,2
10,2
17,2
18,2
21,2
22,2
28,2
32,2
33,2
34,2
38,2
39,2
42,2
45,2
