"subject","run","att_response","att_RT","att_onset","att_offset","past_response","past_RT","past_onset","past_offset","fut_response","fut_RT","fut_onset","fut_offset","self_response","self_RT","self_onset","self_offset","ppl_response","ppl_RT","ppl_onset","ppl_offset","arou_response","arou_RT","arou_onset","arou_offset","aff_response","aff_RT","aff_onset","aff_offset","eng_response","eng_RT","eng_onset","eng_offset","mvmt_response","mvmt_RT","mvmt_onset","mvmt_offset","delib_response","delib_RT","delib_onset","delib_offset","image_response","image_RT","image_onset","image_offset","ling_response","ling_RT","ling_onset","ling_offset","conf_response","conf_RT","conf_onset","conf_offset"
1,1,7,3.39830310002435,83.7466411999776,89.2351792999543,5,2.11048460000893,89.2354121999815,93.5024007000029,4,1.19458849995863,93.5026151000056,95.7274948999984,7,2.2328290999867,95.7276995999855,99.7648855999578,4,1.61478870001156,99.7651347999927,102.285539200006,3,1.64484139997512,102.285737800004,105.812728099991,5,1.19334780005738,105.812937099952,107.861485800007,4,1.16926769999554,107.861701199959,110.66989640001,3,3.24356889998307,110.670109500003,114.814259100007,3,2.3569338999805,114.814468799974,118.353144499997,3,1.76051170000574,118.353313600004,122.090334200009,5,1.18864940002095,122.090541599959,124.326959199971,5,2.19265179999638,124.327136599983,127.214873299992
1,1,9,2.85783999995328,186.817072000005,192.042756799958,4,1.79074490000494,192.043640599994,195.773141499958,9,0.590190899965819,195.773765599995,197.689507699979,8,1.07815819996176,197.6900379,200.223147499957,5,1.18449949997012,200.223719800008,201.76633720001,4,1.42545229999814,201.767216599954,204.814933499962,3,1.35213279997697,204.815685999987,208.052166199952,5,1.3144639999955,208.052914,210.516049599973,6,1.40756690001581,210.516712099954,212.856164500001,6,4.13548910000827,212.856826899981,217.715656299959,6,2.3253816999495,217.716419400007,221.392278799962,8,2.02497310005128,221.393133899954,224.632713800005,8,1.60997629998019,224.633496899973,227.969788199989
1,1,3,7.47986479999963,285.526993599953,294.137135999976,1,1.40218630002346,294.137808599975,297.187661899952,8,0.801549699972384,297.188272400002,299.305759899959,9,1.38360060000559,299.306447199953,303.427780399972,1,1.65894140000455,303.4284567,307.154821600008,7,0.948643600044306,307.15544969996,309.137994499994,4,2.5825949999853,309.138827099989,312.355265299964,5,1.75167880003573,312.355937799963,314.571951599966,3,1.89061890001176,314.572638899961,318.073881499993,3,1.4800984999747,318.074544899981,320.779715499957,3,1.42424779996509,320.780508399999,323.188640999957,4,1.85144360002596,323.189301799983,325.757359699986,7,2.03064949996769,325.757949399995,329.455561599985
1,1,7,3.77683340001386,381.029228899977,386.587925200001,7,1.47273059998406,386.588123900001,390.529196999967,5,1.41417439997895,390.529420499981,392.832567999954,2,0.973971600004006,392.832775399962,394.942984399968,8,1.27967120002722,394.94318979996,397.990297399985,7,1.79994870000519,397.990501699969,400.944487400004,4,1.51681340002688,400.944705199974,403.961611100007,3,1.28751829999965,403.96183689998,406.715812899987,7,1.09259829996154,406.716020299995,408.9216304,1,1.65298240003176,408.921870299964,411.76333669998,8,1.68658769998001,411.763553600002,414.772076299996,6,0.741257700021379,414.772309299966,416.189977100003,7,1.84260029997677,416.190182799997,418.962720899959
1,1,7,3.06449710001471,479.53782649996,483.433883499994,3,1.88412529998459,483.434877299995,488.800061499991,6,1.01718080003047,488.801434599969,491.248331499984,6,1.63618279999355,491.24959610001,493.790034699952,7,1.13733800000045,493.790974200005,496.1330113,3,3.89411940000718,496.134206699964,503.031654499995,6,3.53650510002626,503.032707299979,507.775661799998,5,1.16407449997496,507.776672000007,510.46729359997,3,1.54273880005348,510.468522299954,513.366767700005,6,0.918953599990346,513.367773699982,517.241917699983,5,0.910609800019301,517.242900399957,518.959256400005,8,0.890310299990233,518.960286699992,520.900876600004,6,0.823809200024698,520.901858499972,523.493026299984
1,1,7,3.86291530000744,576.034746199963,581.386217699968,7,1.40326270001242,581.386236599996,584.371203299961,7,0.685164999973495,584.371223599999,586.468609699979,4,0.962459899950773,586.468628000002,588.355627599987,7,1.17615880002268,588.355649699981,590.321213699994,5,1.80760999995982,590.321238200006,593.995130099996,4,0.835809200012591,593.995147599955,595.92381399998,6,1.36645989998942,595.923832900007,598.339779599977,4,0.699555500003044,598.33980029996,600.285484599997,3,0.762782099947799,600.285501200007,602.237498299975,4,2.00239679997321,602.237517600006,604.756058099971,7,1.1997282000375,604.75607959996,607.262675999955,6,1.53573730000062,607.262696399994,609.271068800008
1,2,7,3.32298600004287,80.037352299958,84.4378615999594,6,2.41404519998468,84.4391565999831,88.5603701999644,7,0.861724499962293,88.5614902999951,91.537277299969,7,1.20573540002806,91.5386592999566,93.8153401999734,7,1.85606799996458,93.8165135000017,96.8074342999607,4,0.945336300006602,96.80853629997,98.595617999963,6,2.30930779996561,98.5965770999901,101.989329699951,4,1.03068839997286,101.990497899998,103.912898799987,9,1.85957560001407,103.913782499963,107.596620199969,3,2.10372820001794,107.600444599986,110.696318799979,6,1.20799399999669,110.697326399968,113.056387599965,6,0.597749200009275,113.057605299982,114.439022499952,7,0.867474899976514,114.440304799995,116.557844700001
1,2,7,2.81303000001935,173.102691399981,177.065755799995,6,1.96018279995769,177.066567300004,180.160364299954,6,1.17919660004554,180.161334899953,182.307991599955,8,2.27267160004703,182.309000099951,185.928093299968,4,0.786426000006031,185.929252999951,187.49308059999,7,1.38465779996477,187.494183200004,190.224281499977,4,1.14847000001464,190.225250499963,192.173310699989,4,0.938084000023082,192.174255699967,194.388616199954,6,1.32602849998511,194.389714199991,196.574072699994,3,0.924091099994257,196.575191499956,199.329392399988,5,0.727202499983832,199.330514199974,201.204832299962,6,1.40254440001445,201.205610599951,203.355403299967,5,1.04347929998767,203.356506099983,204.805065199966
1,2,5,4.83770450000884,264.414302699966,269.257705900003,5,4.31854379997822,269.258240399999,275.858046399953,5,1.73518389998935,275.858896199963,278.074884000001,6,1.59093830001075,278.075583299971,281.06661629997,1,1.41563519998454,281.067479999969,284.833622899954,1,1.25967220001621,284.834387399955,289.549670799985,5,1.04940980003448,289.550553299952,291.050031799998,5,0.768848099978641,291.05081689998,292.520438199979,5,0.846551000024192,292.521476299968,294.075275599957,2,0.783402799977921,294.075927799975,296.991646599956,5,1.04357239999808,296.992363900004,298.560249699978,5,0.9582408000133,298.561049399956,299.825321099954,4,1.08444569999119,299.826387699984,302.185518499988
1,2,6,2.5693428000086,354.719232899952,360.626585799968,6,1.73732839996228,360.627154099988,363.094173599966,7,0.951740899996366,363.094192299992,364.752284599992,6,1.15400129999034,364.752301400003,367.002728799998,7,0.468404299987014,367.002743299992,369.535232599999,4,1.08530299999984,369.535249599954,372.093855399988,7,1.17080890003126,372.093873999955,373.869443200005,3,1.07024700002512,373.869460099959,375.827873300004,3,0.974848999991082,375.827890799963,378.289110999962,3,0.847343100002035,378.289130599995,380.944430599979,8,0.94476250000298,380.944445799978,383.745110499964,3,1.05917680001585,383.745129099989,386.536489199963,7,0.836407499969937,386.536506899982,388.202903400001
